mpid,d_center,E_CO
mp-1025220,4.688240437476618,-1.85890005
mp-542915,9.530262651832297,-1.00394635
mp-964,4.693418540094807,-1.90518508
mp-12635,3.278128763774393,-0.6043642
mp-11771,2.1032162918732054,-0.36274018
mp-31311,5.046967443772349,0.24437721
mp-985442,-0.897399038,-0.02300699
mp-922,5.649144448813106,-1.50912493
mp-30536,9.498388798159922,0.08808757
mp-1024051,-4.941736991,-0.11464923
mp-571247,9.926641835,-0.45642172
mp-867904,11.994773151769115,0.4152947399999878
mp-15687,-4.906611466,-0.08801844
mp-19968,5.923672305854248,-0.82000669
mp-570844,4.801454181181308,0.7296086000000148
mp-985287,2.8640438765800953,-0.31281889
mp-6637,1.640733322009264,-0.05673108
mp-21289,-0.318556659,-1.13066253
mp-30366,-1.217792442,-0.32761092
mp-696,5.855397749374183,-0.14143515
mp-1714,9.997621337954287,-1.4886522
mp-13363,9.009570035405856,-1.21745173
mp-22596,6.272544997759829,-0.59518488
mp-1882,3.8074569614184504,-0.25510148
mp-866031,14.24921452282132,-0.99013995
mp-1025203,7.2141548554915085,-0.00144166
mp-13512,3.2919389952523375,-0.99779364
mp-2780,7.957248710245538,-1.314334
mp-24154,8.253449422265987,-1.22220604
mp-21352,2.3619599072722894,-0.17211612
mp-20405,7.5408840827047605,-1.28460986
mp-1424,2.8336231232682714,-0.07960116
mp-989649,4.504361280708093,-0.60203784
mp-7126,10.722022807533524,-2.02109544
mp-20619,8.429210354935094,-1.16587552
mp-12778,7.9956082629806104,-1.33861536
mp-557523,2.998119431366695,-0.00978685
mp-971948,4.296904934797885,-0.1973537
mp-560386,0.9417362885721954,-0.05602932
mp-995122,5.043607896671838,0.00139744
mp-449,9.483641700714996,-1.60468062
mp-569683,3.387126644585242,-0.30707272
mp-622209,7.7959099798503795,-1.37793403
mp-1121,7.269216021550942,-1.16294007
mp-381,12.20790990324565,-0.92549709
mp-7262,-3.836200387,-0.00607342
mp-21215,7.005306046999866,-0.29361331
mp-871,9.358815855538856,-1.40375212
mp-10695,-1.732870204,-3.08160711
mp-11398,6.940654569,-1.27494767
mp-12723,7.161231430130102,-0.29982807
mp-561511,6.541995432812687,-0.02523855
mp-11227,7.528219199929941,0.17543991000000325
mp-30594,5.8893056992676565,-0.57313696
mp-2056,5.499519463503246,-1.92315682
mp-611,1.478940842856197,0.09811911
mp-556225,1.1920768209888069,-0.13062864
mp-953,-0.495629684,-1.40687182
mp-31312,3.8799739871076766,-1.02292968
mp-865357,1.6140339972152027,-0.51728266
mp-4852,4.4540063264360645,-1.31768157
mp-1025235,6.214867146,-1.16736572
mp-865779,9.340356226148618,-2.12702604
mp-1664,5.6874587458377155,-1.64559453
mp-91,11.821590266397923,-1.40300001
mp-1791,6.454848744529715,-0.24937677
mp-4043,1.5117222700226134,-1.20972611
mp-19791,4.555883045044226,-0.25324051
mp-971891,3.323901882814496,-0.26222849
mp-2731,7.500969213009309,-0.15418392
mp-20255,8.843080094439667,-0.67910962
mp-12675,4.824767019134401,-2.01815014
mp-11193,5.0786690468525535,-0.86944543
mp-1769,4.866081067328137,-0.31370746
mp-9248,3.898191898,-0.01485266
mp-1025263,6.764336584335304,-0.86346018
mp-1589,6.835959665870829,-1.98686749
mp-2156,4.693397720322374,-0.02063827
mp-630976,7.019890381690432,0.10599891000000561
mp-442,7.558867309,-1.08162224
mp-949,7.246342526351987,-1.25592768
mp-11504,-0.256646468,-1.31050451
mp-1018811,10.60163566746636,-1.36254451
mp-6988,9.139871041839891,-0.97445583
mp-7113,5.761690833814205,-3.91696072
mp-1025180,2.9460801375444436,0.020520889999994907
mp-796,6.7273248249882505,-2.35843434
mp-1969,8.880929328895121,-1.06900103
